name,text,label
51060103,闲来无事、自我学修、期进上阶、满怀希望、道合无为、自洽、自和与人和,1
51060956,担惊受怕，困！弱小、无助,1
51062527,有点迷茫，不知道以后的规划方向，心平气和。心如止水，紧张和压力。害怕成绩不如意,1
51058836,未老先衰，自由自在，游山玩水，运动精神，执着学习,1
51060985,焦虑，有目标，有收获，疲惫，满足,1
51073237,嗓子哑了，十分难受！多数的时候是很开心的，因为解决数学难题之后我会十分有自我成就感，每天回家看到附近自己喜欢吃的，还是比较有开心的,1
51077371,疲惫，困倦，劳累，想摆烂，精神恍惚,1
51077169,自信、茫然、干劲十足、多次运气逆天、多愁善感,1
51060001,易困，精神失常，喜怒无常，无聊，三分钟热度,1
51062503,开心，认真，美丽、自信、对未来有信心,1
51058756,游手好闲，积极乐观，以耍帅为乐，早睡早起，勤学苦练,1
51062170,累、开心、有时焦虑。,1
51058812,疲倦、想放假、纠结、打瞌睡、着急,1
51060010,阳光，开朗，大男孩，爱哭，爱笑，不想写作业.,1
51058845,良好，积极向上，提升，压迫感，思考,1
51075417,不是很好，有一种无力感，没有一个目标，学习起来有点吃力，与家人的关系不是很好，易怒,1
51058924,自傲，很难低头认错，敏感，想用忙碌来掩盖悲伤情绪，很累（身体和心理），喜欢说反话（很严重），可以为朋友放弃我。,1
51060950,烦恼，焦虑，担忧，想回家，学不懂，累,1
51073210,答：激动，疲倦，开心，幸福，不解。,1
51077250,平淡、开心、勤劳、伤心、压力、惊喜。努力、坚持，期待。,1
51062509,烦燥，困，麻木，易怒焦燥，焦虑，真的很烦啊，联考只有几天了然后就很紧张，觉也睡不好,1
51075420,答：有时消极有时乐观，无聊，开心，麻木。,1
51072827,努力学习，有少部分事会打扰我，一直蛮开心的，上课有点容易犯困，情绪比较稳定.,1
51072871,无精打彩、无所事事、沮丧、时开心时不开心、紧张、,1
51072779,乐观、懒散、健康、快乐、丢三落四,0
51060064,1、压力有点大2、对未来的迷茫3、胡思乱想4、爱发呆5、但相较之前要放松一些了,0
51073263,平和、冷静、忙碌、乐观、上进、,0
51059770,抑郁、心情突变快、差劲、困倦却不失本分、忧愁感慨,1
51073222,激动、自豪、不安、焦躁、压力山大,1
51063253,乐观、迷茫、焦虑、奋斗、无语。,1
51058016,困、浮燥、开心、焦虑、无语、难过,1
51071549,孤独，快乐，无所适从，自治力差，记不住事,1
51058809,焦虑、迷茫、下定决心努力，发奋图强又陷入迷茫，精神状态不太好，睡眠不够导致的疲倦,0
51058725,开心，焦虑，自信，困，往实，想打羽毛球，很幸福,0
51072898,疲倦，开心，困难，兴奋，食欲不好,1
51077199,开心，积极，乐观、向上、活跃、认真严格做事自律,0
51059995,疲惫不堪、百废待兴、为所欲为、食欲不佳、经常犯困、运气变好,1
51076174,1、生活充实2、学习状态好3、开心4、快乐5、事事顺心,0
51062473,紧张、痛并快乐，担心、焦虑、累,0
51058936,精力充沛，亢奋，良好，注意力集中，思维活跃。,0
51060076,1非常忙2充实3愉快4健康5阳光,0
51061003,1.觉得生活很美好，却时而消极2.对所有人都厌烦,1
51071570,精神良好，每天早上很紧张等不到公交车。,0
51058674,放纵中又带着清醒，快乐中又带着伤感，有些浮躁，摆烂（一点儿）,1
51063203,想死、失眠、无助、想杀人、觉得好累,1
51058727,1、矛盾心烦；2、有时候很开心有时候又很烦；3、讨厌处理朋友之间的关系；4、想运动又不想运动；5、麻木，上课有,0
51058783,焦虑于未来，对未来迷茫却憧憬，对学业紧张却又不想行动，对自己的成绩感到失望，对朋友的性格不符而烦燥，,1
51058870,精神不振，气色不佳，状态不易集中，饮食良好，不易失眠,1
51058857,1、迷茫2、心情时好时坏3、不太想学习4、想玩5、有点压抑,1
